trip_id,route_num,date,stop_0,time_at_stop_0,time_from_stop_0_to_stop_1,stop_1,time_at_stop_1,time_from_stop_1_to_stop_2,stop_2,time_at_stop_2,time_from_stop_2_to_stop_3,stop_3,time_at_stop_3,time_from_stop_3_to_stop_4,stop_4,time_at_stop_4,,,2.610784314,3.065686275,2.025,3.285416667
190101,19,6/21/22,2375,16,159,2670,52,236,2674,152,144,2676,44,220,2376,12,,,,,,
190101,19,6/21/22,2375,12,163,2670,40,304,2674,60,156,2676,36,244,2376,8,,,,,,
190101,19,6/22/22,2375,20,252,2670,68,260,2674,40,156,2676,36,208,2376,40,,,,,,
190101,19,6/22/22,2670,47,533,2676,0,286,2376,12,,,,,,,,,,,,
190101,19,6/23/22,2375,12,195,2670,44,296,2674,44,168,2676,40,216,2376,36,,,,,,
190101,19,6/24/22,2375,8,179,2670,40,172,2674,176,132,2676,80,188,2376,32,,,,,,
190101,19,6/27/22,2375,33,150,2670,47,262,2674,54,151,2676,43,265,2376,9,,,,,,
190101,19,6/28/22,2375,25,151,2670,40,245,2674,44,136,2676,36,236,2376,12,,,,,,
190101,19,6/29/22,2375,16,161,2670,52,206,2674,139,171,2676,36,252,2376,38,,,,,,
190101,19,7/1/22,2375,12,160,2670,48,228,2674,188,136,2676,40,188,2376,44,,,,,,
190201,19,6/21/22,2375,12,156,2670,52,308,2674,48,168,2676,56,246,2376,8,,,,,,
190201,19,6/22/22,2375,16,163,2670,52,252,2674,60,172,2676,48,240,2376,8,,,,,,
190201,19,6/23/22,2375,16,143,2670,40,256,2674,60,148,2676,44,183,2376,8,,,,,,
190201,19,6/24/22,2375,16,161,2670,60,200,2674,52,164,2676,40,232,2376,40,,,,,,
190201,19,6/27/22,2375,16,146,2670,40,232,2674,64,172,2676,40,260,2376,8,,,,,,
190201,19,6/28/22,2375,12,156,2670,20,256,2674,28,172,2676,28,276,2376,8,,,,,,
190201,19,6/29/22,2375,12,153,2670,56,228,2674,164,160,2676,52,240,2376,12,,,,,,
190201,19,6/30/22,2375,16,192,2670,20,224,2674,60,148,2676,36,189,2376,8,,,,,,
190201,19,7/1/22,2375,68,181,2670,20,248,2674,80,148,2676,56,228,2376,24,,,,,,
190202,19,6/21/22,2375,12,164,2670,48,204,2674,60,172,2676,40,258,2376,36,,,,,,
190202,19,6/22/22,2375,60,176,2670,56,272,2674,80,160,2676,44,196,2376,60,,,,,,
190202,19,6/23/22,2375,48,149,2670,36,260,2674,44,144,2676,40,177,2376,40,,,,,,
190202,19,6/24/22,2375,12,138,2670,44,236,2674,116,112,2676,40,179,2376,8,,,,,,
190202,19,6/27/22,2375,32,159,2670,44,220,2674,52,176,2676,56,232,2376,12,,,,,,
190202,19,6/28/22,2375,12,147,2670,48,276,2674,72,200,2676,20,235,2376,52,,,,,,
190202,19,6/29/22,2375,12,184,2670,40,260,2674,96,172,2676,36,223,2376,8,,,,,,
190202,19,6/30/22,2375,16,161,2670,44,244,2674,64,164,2676,36,234,2376,12,,,,,,
190202,19,7/1/22,2375,20,169,2670,44,248,2674,56,156,2676,36,211,2376,8,,,,,,
190103,19,6/21/22,2375,32,156,2670,48,244,2674,64,188,2676,16,292,2376,8,,,,,,
190103,19,6/22/22,2376,20,,,,,,,,,,,,,,,,,,
190103,19,6/23/22,2375,40,166,2670,24,224,2674,88,164,2676,48,232,2376,8,,,,,,
190103,19,6/24/22,2375,16,148,2670,48,212,2674,60,140,2676,12,244,2376,8,,,,,,
190103,19,6/27/22,2375,33,153,2670,17,202,2674,84,156,2676,12,237,2376,36,,,,,,
190103,19,6/28/22,2375,60,148,2670,20,274,2674,56,148,2676,36,240,2376,12,,,,,,
190103,19,6/29/22,2375,10,186,2670,50,204,2674,172,168,2676,52,205,2376,4,,,,,,
190103,19,6/30/22,2375,108,157,2670,16,236,2674,36,128,2676,36,208,2376,12,,,,,,
190103,19,7/1/22,2375,36,139,2670,20,220,2674,40,116,2676,32,202,2376,8,,,,,,
190203,19,6/21/22,2375,16,149,2670,20,192,2674,64,136,2676,12,206,2376,8,,,,,,
190203,19,6/22/22,2375,12,148,2670,24,264,2674,44,136,2676,56,177,2376,8,,,,,,
190203,19,6/23/22,2375,16,148,2670,44,204,2674,48,152,2676,36,196,2376,12,,,,,,
190203,19,6/24/22,2375,12,144,2670,40,300,2674,144,160,2676,36,233,2376,8,,,,,,
190203,19,6/27/22,2375,12,134,2670,36,212,2674,176,136,2676,36,193,2376,32,,,,,,
190203,19,6/28/22,2375,12,146,2670,40,184,2674,80,120,2676,32,228,2376,8,,,,,,
190203,19,6/29/22,2375,40,142,2670,60,216,2674,76,148,2676,36,196,2376,8,,,,,,
190203,19,6/30/22,2375,64,151,2670,40,204,2674,60,144,2676,40,211,2376,12,,,,,,
190203,19,7/1/22,2375,32,147,2670,52,188,2674,144,148,2676,28,211,2376,48,,,,,,
180204,19,6/21/22,2375,12,146,2670,40,224,2674,180,128,2676,32,195,2376,8,,,,,,
180204,19,6/22/22,2375,12,134,2670,40,172,2674,272,144,2676,44,188,2376,8,,,,,,
180204,19,6/23/22,2375,44,138,2670,20,196,2674,208,124,2676,36,196,2376,4,,,,,,
180204,19,6/24/22,2375,12,133,2670,20,196,2674,196,144,2676,28,282,2376,36,,,,,,
180204,19,6/27/22,2375,12,152,2670,48,168,2674,228,152,2676,44,228,2376,8,,,,,,
180204,19,6/28/22,2375,36,142,2670,20,188,2674,264,120,2676,16,200,2376,8,,,,,,
180204,19,6/29/22,2375,8,146,2670,17,179,2674,265,125,2676,34,249,2376,4,,,,,,
180204,19,6/30/22,2375,8,143,2670,44,164,2674,108,132,2676,24,200,2376,32,,,,,,
180204,19,7/1/22,2375,16,144,2670,40,196,2674,232,128,2676,36,220,2376,32,,,,,,
180105,19,6/21/22,2375,32,156,2670,40,248,2674,64,148,2676,16,212,2376,12,,,,,,
180105,19,6/22/22,2375,48,142,2670,20,236,2674,44,172,2676,16,236,2376,12,,,,,,
180105,19,6/23/22,2375,12,188,2670,36,192,2674,108,144,2676,32,220,2376,8,,,,,,
180105,19,6/24/22,2375,12,153,2670,60,180,2674,48,128,2676,48,200,2376,12,,,,,,
180105,19,6/27/22,2375,12,152,2670,16,160,2674,132,140,2676,28,212,2376,8,,,,,,
180105,19,6/28/22,2375,12,186,2670,16,184,2674,244,136,2676,16,252,2376,36,,,,,,
180105,19,6/29/22,2375,12,149,2670,20,204,2674,180,124,2676,12,212,2376,8,,,,,,
180105,19,6/30/22,2375,16,161,2670,60,208,2674,48,120,2676,40,200,2376,32,,,,,,
180105,19,7/1/22,2375,12,139,2670,36,208,2674,256,112,2676,40,238,2376,8,,,,,,
190304,19,6/21/22,2375,12,153,2670,20,240,2674,80,180,2676,32,248,2376,8,,,,,,
190304,19,6/22/22,2375,16,162,2670,44,208,2674,84,144,2676,12,208,2376,8,,,,,,
190304,19,6/23/22,2375,12,133,2670,36,208,2674,48,148,2676,40,209,2376,8,,,,,,
190304,19,6/24/22,2375,12,144,2670,28,168,2674,240,120,2676,32,220,2376,8,,,,,,
190304,19,6/27/22,2375,16,151,2670,20,212,2674,52,152,2676,44,264,2376,40,,,,,,
190304,19,6/28/22,2375,16,160,2670,20,200,2674,60,148,2676,28,224,2376,28,,,,,,
190304,19,6/29/22,2375,16,157,2670,20,224,2674,128,140,2676,44,240,2376,28,,,,,,
190304,19,6/30/22,2375,20,144,2670,20,248,2674,48,156,2676,12,282,2376,36,,,,,,
190304,19,7/1/22,2375,20,180,2670,44,200,2674,60,232,2676,48,250,2376,48,,,,,,
180305,19,6/21/22,2375,16,149,2670,44,260,2674,100,156,2676,44,218,2376,68,,,,,,
180305,19,6/22/22,2375,36,149,2670,40,212,2674,112,156,2676,44,240,2376,120,,,,,,
180305,19,6/23/22,2375,32,148,2670,20,260,2674,64,128,2676,32,244,2376,16,,,,,,
180305,19,6/24/22,2375,20,147,2670,20,196,2674,80,144,2676,112,223,2376,8,,,,,,
180305,19,6/27/22,2375,16,172,2670,40,228,2674,84,156,2676,40,244,2376,12,,,,,,
180305,19,6/28/22,2375,16,159,2670,40,236,2674,132,148,2676,40,232,2376,12,,,,,,
180305,19,6/29/22,2375,36,153,2670,36,216,2674,56,148,2676,40,246,2376,40,,,,,,
180305,19,6/30/22,2375,16,148,2670,40,284,2674,60,188,2676,48,244,2376,44,,,,,,
180305,19,6/30/22,2375,36,153,2670,40,236,2674,84,132,2676,36,254,2376,48,,,,,,
180305,19,7/1/22,2375,12,141,2670,20,204,2674,24,136,2676,40,208,2376,36,,,,,,
190403,19,6/21/22,2375,16,181,2670,20,196,2674,48,152,2676,40,242,2376,32,,,,,,
190403,19,6/23/22,2375,12,146,2670,16,188,2674,124,148,2676,32,249,2376,32,,,,,,
190403,19,6/24/22,2375,60,145,2670,20,204,2674,52,152,2676,16,207,2376,36,,,,,,
190403,19,6/27/22,2375,12,133,2670,59,197,2674,52,185,2676,4,310,2376,32,,,,,,
190403,19,6/28/22,2375,28,173,2670,40,203,2674,99,142,2676,30,228,2376,9,,,,,,
190403,19,6/29/22,2375,44,151,2670,56,684,2376,32,,,,,,,,,,,,
190403,19,6/30/22,2375,12,147,2670,20,208,2674,56,128,2676,48,228,2376,36,,,,,,
190403,19,7/1/22,2375,32,140,2670,16,192,2674,52,172,2676,36,270,2376,44,,,,,,
180306,19,6/21/22,2375,48,148,2670,60,264,2674,88,132,2676,32,261,2376,36,,,,,,
180306,19,6/22/22,2375,16,153,2670,20,268,2674,68,136,2676,32,236,2376,16,,,,,,
180306,19,6/23/22,2375,16,133,2670,56,228,2674,60,144,2676,84,326,2376,4,,,,,,
180306,19,6/24/22,2375,40,144,2670,44,240,2674,44,160,2676,44,266,2376,12,,,,,,
180306,19,6/27/22,2375,16,171,2670,48,240,2674,56,188,2676,16,246,2376,8,,,,,,
180306,19,6/29/22,2375,32,153,2670,40,216,2674,60,140,2676,32,182,2376,32,,,,,,
180306,19,7/1/22,2375,48,168,2670,48,228,2674,56,124,2676,44,216,2376,8,,,,,,
190206,19,6/21/22,2375,16,152,2670,40,300,2674,64,208,2676,56,204,2376,48,,,,,,
190206,19,6/22/22,2375,12,211,2670,20,200,2674,192,152,2676,44,260,2376,8,,,,,,
190206,19,6/23/22,2375,16,157,2670,44,268,2674,60,160,2676,44,216,2376,40,,,,,,
190206,19,6/24/22,2375,12,152,2670,52,216,2674,120,128,2676,36,250,2376,40,,,,,,
190206,19,6/27/22,2375,12,144,2670,24,196,2674,256,148,2676,36,264,2376,32,,,,,,
190206,19,6/28/22,2375,28,,,,,,,,,,,,,,,,,,
190206,19,6/29/22,2375,12,155,2670,52,268,2674,64,156,2676,32,276,2376,8,,,,,,
190206,19,6/30/22,2375,12,153,2670,16,176,2674,36,132,2676,40,232,2376,12,,,,,,
190206,19,7/1/22,2375,16,153,2670,44,224,2674,56,160,2676,40,201,2376,32,,,,,,
180207,19,6/21/22,2375,16,158,2670,48,192,2674,60,168,2676,40,197,2376,8,,,,,,
180207,19,6/22/22,2375,12,142,2670,52,196,2674,168,152,2676,40,279,2376,36,,,,,,
180207,19,6/23/22,2375,12,147,2670,20,188,2674,192,140,2676,12,224,2376,8,,,,,,
180207,19,6/24/22,2375,12,144,2670,20,212,2674,72,148,2676,52,232,2376,36,,,,,,
180207,19,6/27/22,2375,12,172,2670,48,212,2674,132,148,2676,64,248,2376,40,,,,,,
180207,19,6/28/22,2375,12,158,2670,52,220,2674,60,156,2676,36,220,2376,32,,,,,,
180207,19,6/29/22,2375,13,151,2670,41,203,2674,130,145,2676,38,256,2376,34,,,,,,
180207,19,6/30/22,2375,16,151,2670,56,236,2674,92,124,2676,16,200,2376,12,,,,,,
180207,19,7/1/22,2375,16,149,2670,44,184,2674,176,156,2676,36,216,2376,28,,,,,,
190405,19,6/21/22,2375,20,160,2670,20,228,2674,72,248,2676,56,316,2376,12,,,,,,
190405,19,6/22/22,2375,12,150,2670,36,172,2674,248,152,2676,40,231,2376,32,,,,,,
190405,19,6/23/22,2670,20,176,2674,72,128,2676,44,206,2376,8,,,,,,,,,
190405,19,6/24/22,2375,12,138,2670,20,204,2674,132,164,2676,36,212,2376,44,,,,,,
190405,19,6/27/22,2375,108,142,2670,22,758,2376,48,,,,,,,,,,,,
190405,19,6/28/22,2375,53,162,2670,50,184,2674,71,172,2676,53,272,2376,41,,,,,,
190405,19,6/29/22,2375,12,142,2670,32,186,2674,48,133,2676,52,319,2376,52,,,,,,
190405,19,6/30/22,2375,12,151,2670,20,240,2674,128,160,2676,64,247,2376,40,,,,,,
190405,19,7/1/22,2375,12,141,2670,16,220,2674,68,128,2676,12,264,2376,8,,,,,,
190307,19,6/21/22,2375,12,129,2670,36,540,2676,48,236,2376,28,,,,,,,,,
190307,19,6/22/22,2375,36,133,2670,40,184,2674,284,148,2676,64,268,2376,12,,,,,,
190307,19,6/23/22,2375,12,146,2670,16,180,2674,248,164,2676,44,268,2376,8,,,,,,
190307,19,6/24/22,2375,16,144,2670,20,156,2674,60,140,2676,44,251,2376,28,,,,,,
190307,19,6/27/22,2375,12,155,2670,20,196,2674,292,136,2676,76,300,2376,12,,,,,,
190307,19,6/28/22,2375,12,141,2670,16,304,2674,5,280,2676,36,240,2376,12,,,,,,
190307,19,6/29/22,2375,16,143,2670,40,200,2674,176,148,2676,40,211,2376,12,,,,,,
190307,19,6/30/22,2375,16,143,2670,16,220,2674,196,124,2676,48,220,2376,8,,,,,,
190307,19,7/1/22,2375,12,151,2670,40,208,2674,76,156,2676,44,176,2376,64,,,,,,
190108,19,6/21/22,2375,12,145,2670,20,236,2674,44,164,2676,48,253,2376,8,,,,,,
190108,19,6/22/22,2375,12,144,2670,20,200,2674,242,146,2676,48,244,2376,12,,,,,,
190108,19,6/23/22,2375,12,171,2670,36,188,2674,192,148,2676,56,212,2376,32,,,,,,
190108,19,6/24/22,2375,12,155,2670,36,192,2674,172,156,2676,36,216,2376,16,,,,,,
190108,19,6/27/22,2375,9,199,2670,18,210,2674,26,137,2676,39,175,2376,9,,,,,,
190108,19,6/28/22,2375,12,154,2670,20,176,2674,333,,,,,,,,,,,,
190108,19,6/28/22,2375,12,174,2670,20,184,2674,112,152,2676,16,228,2376,200,,,,,,
190108,19,6/29/22,2375,30,147,2670,18,188,2674,260,171,2676,38,241,2376,35,,,,,,
190108,19,6/30/22,2375,12,149,2670,20,168,2674,340,140,2676,144,272,2376,8,,,,,,
190108,19,7/1/22,2375,12,150,2670,20,172,2674,292,168,2676,12,305,2376,28,,,,,,
